url,status,final_url,canonical,canonical_matches_url,robots,noindex,redirect,issue,confidence
/tools/resize/resize-image-for-snapchat-story,200,https://pixaroid.vercel.app/tools/resize/resize-image-for-snapchat-story/,https://pixaroid.vercel.app/tools/resize/resize-image-for-tiktok-video/,no,"index,follow",no,no,cross_canonical,high
/tools/resize/resize-image-for-tiktok,200,https://pixaroid.vercel.app/tools/resize/resize-image-for-tiktok/,https://pixaroid.vercel.app/tools/resize/resize-image-for-tiktok/,yes,"index,follow,max-snippet:-1,max-image-preview:large,max-video-preview:-1",no,no,,high
/tools/resize/resize-image-for-tiktok-1080x1080,200,https://pixaroid.vercel.app/tools/resize/resize-image-for-tiktok-1080x1080/,https://pixaroid.vercel.app/tools/resize/resize-image-for-tiktok/,no,"index,follow",no,no,cross_canonical,high
/tools/resize/resize-image-for-tiktok-1080x1920,200,https://pixaroid.vercel.app/tools/resize/resize-image-for-tiktok-1080x1920/,https://pixaroid.vercel.app/tools/resize/resize-image-for-tiktok/,no,"index,follow",no,no,cross_canonical,high
/tools/resize/resize-image-for-tiktok-1920x1080,200,https://pixaroid.vercel.app/tools/resize/resize-image-for-tiktok-1920x1080/,https://pixaroid.vercel.app/tools/resize/resize-image-for-tiktok/,no,"index,follow",no,no,cross_canonical,high
/tools/resize/resize-image-for-tiktok-profile,200,https://pixaroid.vercel.app/tools/resize/resize-image-for-tiktok-profile/,https://pixaroid.vercel.app/tools/resize/resize-image-for-cv/,no,"index,follow",no,no,cross_canonical,high
/tools/resize/resize-image-for-tiktok-video,200,https://pixaroid.vercel.app/tools/resize/resize-image-for-tiktok-video/,https://pixaroid.vercel.app/tools/resize/resize-image-for-tiktok/,no,"index,follow",no,no,cross_canonical,high
/tools/resize/resize-image-for-twitter,200,https://pixaroid.vercel.app/tools/resize/resize-image-for-twitter/,https://pixaroid.vercel.app/tools/resize/resize-image-for-twitter/,yes,"index,follow,max-snippet:-1,max-image-preview:large,max-video-preview:-1",no,no,,high
/tools/resize/resize-image-for-twitter-1200x675,200,https://pixaroid.vercel.app/tools/resize/resize-image-for-twitter-1200x675/,https://pixaroid.vercel.app/tools/resize/resize-image-for-twitter/,no,"index,follow",no,no,cross_canonical,high
/tools/resize/resize-image-for-twitter-1500x500,200,https://pixaroid.vercel.app/tools/resize/resize-image-for-twitter-1500x500/,https://pixaroid.vercel.app/tools/resize/resize-image-for-twitter/,no,"index,follow",no,no,cross_canonical,high
/tools/resize/resize-image-for-twitter-400x400,200,https://pixaroid.vercel.app/tools/resize/resize-image-for-twitter-400x400/,https://pixaroid.vercel.app/tools/resize/resize-image-for-twitter/,no,"index,follow",no,no,cross_canonical,high
/tools/resize/resize-image-for-twitter-header,200,https://pixaroid.vercel.app/tools/resize/resize-image-for-twitter-header/,https://pixaroid.vercel.app/tools/resize/resize-image-for-twitter/,no,"index,follow",no,no,cross_canonical,high
/tools/resize/resize-image-for-twitter-post,200,https://pixaroid.vercel.app/tools/resize/resize-image-for-twitter-post/,https://pixaroid.vercel.app/tools/resize/resize-image-for-twitter/,no,"index,follow",no,no,cross_canonical,high
/tools/resize/resize-image-for-twitter-profile,200,https://pixaroid.vercel.app/tools/resize/resize-image-for-twitter-profile/,https://pixaroid.vercel.app/tools/resize/resize-image-for-twitter/,no,"index,follow",no,no,cross_canonical,high
/tools/resize/resize-image-for-visa,200,https://pixaroid.vercel.app/tools/resize/resize-image-for-visa/,https://pixaroid.vercel.app/tools/resize/resize-image-for-visa/,yes,"index,follow,max-snippet:-1,max-image-preview:large",no,no,,high
/tools/resize/resize-image-for-website,200,https://pixaroid.vercel.app/tools/resize/resize-image-for-website/,https://pixaroid.vercel.app/tools/resize/resize-image-for-website/,yes,"index,follow,max-snippet:-1,max-image-preview:large,max-video-preview:-1",no,no,,high
/tools/resize/resize-image-for-whatsapp,200,https://pixaroid.vercel.app/tools/resize/resize-image-for-whatsapp/,https://pixaroid.vercel.app/tools/resize/resize-image-for-whatsapp/,yes,"index,follow,max-snippet:-1,max-image-preview:large,max-video-preview:-1",no,no,,high
/tools/resize/resize-image-for-whatsapp-1080x1920,200,https://pixaroid.vercel.app/tools/resize/resize-image-for-whatsapp-1080x1920/,https://pixaroid.vercel.app/tools/resize/resize-image-for-whatsapp/,no,"index,follow",no,no,cross_canonical,high
/tools/resize/resize-image-for-whatsapp-500x500,200,https://pixaroid.vercel.app/tools/resize/resize-image-for-whatsapp-500x500/,https://pixaroid.vercel.app/tools/resize/resize-image-for-whatsapp/,no,"index,follow",no,no,cross_canonical,high
/tools/resize/resize-image-for-whatsapp-512x512,200,https://pixaroid.vercel.app/tools/resize/resize-image-for-whatsapp-512x512/,https://pixaroid.vercel.app/tools/resize/resize-image-for-whatsapp/,no,"index,follow",no,no,cross_canonical,high
/tools/resize/resize-image-for-whatsapp-dp,200,https://pixaroid.vercel.app/tools/resize/resize-image-for-whatsapp-dp/,https://pixaroid.vercel.app/tools/resize/resize-image-for-whatsapp/,no,"index,follow",no,no,cross_canonical,high
/tools/resize/resize-image-for-whatsapp-status,200,https://pixaroid.vercel.app/tools/resize/resize-image-for-whatsapp-status/,https://pixaroid.vercel.app/tools/resize/resize-image-for-tiktok-video/,no,"index,follow",no,no,cross_canonical,high
/tools/resize/resize-image-for-windows-wallpaper,200,https://pixaroid.vercel.app/tools/resize/resize-image-for-windows-wallpaper/,https://pixaroid.vercel.app/tools/resize/resize-image-for-desktop-wallpaper/,no,"index,follow",no,no,cross_canonical,high
/tools/resize/resize-image-for-woocommerce,200,https://pixaroid.vercel.app/tools/resize/resize-image-for-woocommerce/,https://pixaroid.vercel.app/tools/resize/resize-image-for-youtube-profile/,no,"index,follow",no,no,cross_canonical,high
/tools/resize/resize-image-for-youtube,200,https://pixaroid.vercel.app/tools/resize/resize-image-for-youtube/,https://pixaroid.vercel.app/tools/resize/resize-image-for-youtube/,yes,"index,follow,max-snippet:-1,max-image-preview:large,max-video-preview:-1",no,no,,high
/tools/resize/resize-image-for-youtube-1280x720,200,https://pixaroid.vercel.app/tools/resize/resize-image-for-youtube-1280x720/,https://pixaroid.vercel.app/tools/resize/resize-image-for-youtube/,no,"index,follow",no,no,cross_canonical,high
/tools/resize/resize-image-for-youtube-2560x1440,200,https://pixaroid.vercel.app/tools/resize/resize-image-for-youtube-2560x1440/,https://pixaroid.vercel.app/tools/resize/resize-image-for-youtube/,no,"index,follow",no,no,cross_canonical,high
/tools/resize/resize-image-for-youtube-800x800,200,https://pixaroid.vercel.app/tools/resize/resize-image-for-youtube-800x800/,https://pixaroid.vercel.app/tools/resize/resize-image-for-youtube/,no,"index,follow",no,no,cross_canonical,high
